device,time,AB线电压,A相功率因数,A相无功功率,A相有功功率,A相电压,A相电压谐波总失真,A相电流,A相电流谐波总失真,A相视在功率,BC线电压,B相功率因数,B相无功功率,B相有功功率,B相电压,B相电压谐波总失真,B相电流,B相电流谐波总失真,B相视在功率,CA线电压,C相功率因数,C相无功功率,C相有功功率,C相电压,C相电压谐波总失真,C相电流,C相电流谐波总失真,C相视在功率,三相总无功功率,三相总有功功率,三相总视在功率,反向无功最大需量,反向无功电度,反向有功最大需量,反向有功电度,平均功率因数,正向无功最大需量,正向无功电度,正向有功最大需量,正向有功电度,电压不平衡度,电流不平衡度,零序电流,频率
常州天和印染有限公司2P 水洗车间20190305_20190514.xlsx,2019-03-06 01:32:00,411.899994,0.0,0.32,0.0,239.100006,2.38,0.0,0.0,0,411.100006,0.0,0.32,0.0,236.600006,2.91,0.0,0.0,0,413.200012,0.0,0.32,0.0,237.900009,0.0,0.0,0.0,0,1.12,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.02
常州天和印染有限公司2P 水洗车间20190305_20190514.xlsx,2019-03-06 01:35:00,411.600006,0.0,0.32,0.0,238.300003,2.64,0.0,0.0,0,412.200012,0.0,0.32,0.0,237.5,2.73,0.0,0.0,0,412.5,0.0,0.32,0.0,237.800003,0.0,0.0,0.0,0,1.12,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.969997
